생산일,제품코드,제품명,생산수량,제품LOT,소비기한,상태,채널
2026-05-30,PR005,,10,PRD-20260530-PR005-3606,2026-06-04,완료,coupang
2026-05-30,PR017,,5,PRD-20260530-PR017-5220,2026-06-03,완료,coupang
2026-05-30,PR079,,3,PRD-20260530-PR079-5339,2026-06-02,완료,coupang
2026-05-30,PR160,,7,PRD-20260530-PR160-5490,2026-06-02,완료,coupang
2026-05-28,PD192,"아몬드토끼쿠키, 1개, 180g",7,PRD-20260528-PD192-0692,2026-05-31,완료,coupang
2026-05-28,PR001,,6,PRD-20260528-PR001-4746,2026-05-31,완료,coupang
2026-05-28,PR002,,3,PRD-20260528-PR002-6450,2026-05-31,완료,coupang
2026-05-28,PR003,,8,PRD-20260528-PR003-5714,2026-05-31,완료,coupang
2026-05-28,PR004,,6,PRD-20260528-PR004-0900,2026-05-31,완료,coupang
2026-05-28,PR005,,4,PRD-20260528-PR005-8071,2026-06-02,완료,coupang
2026-05-28,PR008,,15,PRD-20260528-PR008-4217,2026-05-31,완료,coupang
2026-05-28,PR011,,6,PRD-20260528-PR011-8510,2026-05-31,완료,coupang
2026-05-28,PR012,,6,PRD-20260528-PR012-0066,2026-05-31,완료,coupang
2026-05-28,PR013,,8,PRD-20260528-PR013-0873,2026-06-01,완료,coupang
2026-05-28,PR014,,14,PRD-20260528-PR014-9700,2026-08-26,완료,coupang
2026-05-28,PR015,,7,PRD-20260528-PR015-1006,2026-05-31,완료,coupang
2026-05-28,PR016,,12,PRD-20260528-PR016-7455,2026-06-01,완료,coupang
2026-05-28,PR017,,12,PRD-20260528-PR017-6379,2026-06-01,완료,coupang
2026-05-28,PR018,,8,PRD-20260528-PR018-0339,2026-06-01,완료,coupang
2026-05-28,PR020,,28,PRD-20260528-PR020-0701,2026-08-26,완료,coupang
2026-05-28,PR021,,9,PRD-20260528-PR021-5832,2026-05-31,완료,coupang
2026-05-28,PR022,,12,PRD-20260528-PR022-5514,2026-06-02,완료,coupang
2026-05-28,PR024,,7,PRD-20260528-PR024-1105,2026-05-31,완료,coupang
2026-05-28,PR025,,7,PRD-20260528-PR025-1872,2026-05-31,완료,coupang
2026-05-28,PR026,,12,PRD-20260528-PR026-6500,2026-05-31,완료,coupang
2026-05-28,PR028,,6,PRD-20260528-PR028-6240,2026-05-31,완료,coupang
2026-05-28,PR029,,6,PRD-20260528-PR029-0703,2026-06-02,완료,coupang
2026-05-28,PR030,,7,PRD-20260528-PR030-1825,2026-05-31,완료,coupang
2026-05-28,PR031,,1,PRD-20260528-PR031-6290,2026-08-26,완료,test
2026-05-28,PR031,,12,PRD-20260528-PR031-2347,2026-08-26,완료,coupang
2026-05-28,PR032,,7,PRD-20260528-PR032-5343,2026-05-31,완료,coupang
2026-05-28,PR033,,7,PRD-20260528-PR033-4710,2026-05-31,완료,coupang
2026-05-28,PR034,,12,PRD-20260528-PR034-8223,2026-08-26,완료,coupang
2026-05-28,PR035,,7,PRD-20260528-PR035-3987,2026-05-31,완료,coupang
2026-05-28,PR036,,8,PRD-20260528-PR036-8430,2026-05-31,완료,coupang
2026-05-28,PR038,,21,PRD-20260528-PR038-3347,2026-08-26,완료,coupang
2026-05-28,PR039,,6,PRD-20260528-PR039-6734,2026-05-31,완료,coupang
2026-05-28,PR040,,196,PRD-20260528-PR040-8336,2026-08-26,완료,coupang
