품목코드,품목명,분류,단위,현재재고,안전재고,유통기한(일),포장단위,포장단위명
R001,I.S.P,원료,kg,69.58480000000007,20,730,20,포
R002,W.P.C,원료,kg,146.67900000000003,20,730,20,포
R003,W.P.I,원료,kg,30,20,730,20,포
R004,강낭콩배기,원료,kg,151.3544,24,365,1,
R005,햇방아쌀가루,원료,kg,1304.6080000000004,20,365,,
R006,건살구,원료,kg,3,2,730,,
R007,건조무화과,원료,kg,212.928,10,730,,
R008,건조무화과다이스,원료,kg,147.434,10,730,,
R009,건조코코넛,원료,kg,34.019999999999996,11.34,730,,
R010,건조파인애플다이스,원료,kg,24.329049999999995,20,730,,
R011,건조파파야다이스,원료,kg,24.329049999999995,20,730,,
R012,건크랜베리,원료,kg,1627.1802999999995,12.5,730,,
R013,건포도,원료,kg,317.13700000000006,10,730,,
R014,검정깨,원료,kg,78.50099999999999,2,365,,
R015,그린올리브(슬라이스),원료,kg,537.5632,30,730,,
R016,난백,원료,kg,1769.5439999999999,10,14,,
R017,난황,원료,kg,817.5887,10,7,,
R018,냉동딸기,원료,kg,4.94,1,730,,
R019,냉동블루베리,원료,kg,7.8932,1,730,1,봉지
R020,다크초코칩,원료,kg,221.646,10,365,,
R021,다크초콜릿 론도,원료,kg,39.82078699669966,10,365,,
R022,당근,원료,kg,110,10,365,,
R023,두부,원료,kg,8.748,3,14,3,팩
R024,두유,원료,kg,704.1324,0.95,365,,
R025,분말(코코아),원료,kg,197.07369999999995,25,1095,,
R026,라임주스,원료,kg,11.8325,1,365,,
R027,럼,원료,kg,18,1,730,,
R028,레몬제스트,원료,kg,12.5,0.5,730,0.5,통
R030,레몬필,원료,kg,59.556000000000004,1,365,,
R031,로즈마리,원료,kg,1.9810000000000005,0.2,1460,0.2,통
R032,롤치즈,원료,kg,187.54600000000002,1,180,,
R034,마요네즈,원료,kg,57.24299999999999,3.2,365,,
R035,마카다미아분태,원료,kg,91.52669999999999,11.34,720,,
R036,멕시칸스타일 콰트로 슈레드,원료,kg,0,1,90,,
R037,모짜렐라치즈,원료,kg,209.35700000000003,2.5,90,,
R038,몰트엑기스,원료,kg,250.50223000000003,1.25,365,1.25,팩
R040,물엿,원료,kg,81.69099999999997,32,730,,
R041,밀크초콜릿 론도,원료,kg,0,10,365,,
R043,바닐프로,원료,kg,3.4904,1,1095,,
R044,바질페스토,원료,kg,21.9718,1,730,1,팩
R047,백설탕,원료,kg,186.71800000000007,15,1460,15,포
R048,버터,원료,kg,5903.132200000001,300,730,,
R049,베이킹소다,원료,kg,4.3898,5,720,,
R050,베이킹파우더,원료,kg,29.608989253486463,5,720,0.3,봉지
R051,분당,원료,kg,83,20,1095,,
R052,분말(검정깨),원료,kg,24.881999999999998,5,720,,
R053,분말(계피),원료,kg,24.92964462674323,5,720,,
R054,분말(귀리),원료,kg,20.197999999999993,20,720,,
R055,분말(녹차),원료,kg,24,5,1095,,
R056,분말(단호박),원료,kg,61.853999999999964,10,720,,
R057,분말(발아현미),원료,kg,123.97,20,720,,
R058,분말(쑥),원료,kg,39.803200000000004,20,720,,
R059,분말(치즈),원료,kg,5,5,720,,
R061,분말(커피),원료,kg,72,24,720,,
R063,블랙올리브(슬라이스),원료,kg,787.8079143681089,3,1095,18,박스
R064,비타민C,원료,kg,9.228478710637335,1,720,,
R065,비프불고기분쇄,원료,kg,0,1,365,,
R066,사양벌꿀,원료,kg,80,2,720,,
R067,산딸기냉동퓨레,원료,kg,13,1,720,,
R068,생이스트,원료,kg,257.34343000000007,0.5,90,,
R069,생크림,원료,kg,154.93249999999998,10,720,,
R070,유기농(설탕),원료,kg,2807.6403508894596,25,1460,,
R071,소금,원료,kg,1839.8565000000003,25,1460,,
R072,스위트콘,원료,kg,244.73999999999998,2.95,1095,,
R075,슬라이스햄,원료,kg,18.14,0.5,30,,
R078,아몬드분말95,원료,kg,239.33119999999994,11.34,365,,
R079,아몬드슬라이스,원료,kg,457.2065,45.36,1095,,
R080,아트펜 그린,원료,kg,12.2,20,720,,
R081,아트펜 다크,원료,kg,43.199999999999996,20,720,,
R082,아트펜 레드,원료,kg,12.799999999999999,20,720,,
R083,아트펜 옐로우,원료,kg,18,20,720,,
R084,아트펜 오렌지,원료,kg,9,20,720,,
R085,아트펜 퍼플,원료,kg,43.8,20,720,,
R086,아트펜 핑크,원료,kg,38.400000000000006,20,720,,
R087,아트펜 화이트,원료,kg,5.599999999999998,20,720,,
R088,얼그레이,원료,kg,14.69473381294964,5,1825,,
R089,에리스톨,원료,kg,0,25,1095,,
R090,에멘탈치즈스프레드,원료,kg,145.725,1,180,1,팩
R091,에프리코트혼당,원료,kg,20,5,365,5,통
R092,엑스트라 버진 올리브오일,원료,kg,567.667,5,720,,
R093,오레가노럽드,원료,kg,5.575,0.15,1460,,
R094,오렌지필,원료,kg,48.65600000000001,1,365,,
R095,오징어먹물,원료,kg,9.8328,5,365,0.5,통
R096,오트밀,원료,kg,673.0015999999996,22.68,365,,
R097,옥수수전분,원료,kg,21.368800000000007,20,720,,
R098,완두배기,원료,kg,146.7944,24,90,2,봉지
R099,우리멀티그레인믹스,원료,kg,618.7300000000001,2,365,12,박스
R100,우유,원료,kg,1809.5971000000006,1,90,,
R101,유기농 T65,원료,kg,2197.2147670252725,20,365,,
R102,유기농 T55,원료,kg,-178.91831806398665,20,365,,
R103,전란,원료,kg,974.1013999999997,10,7,,
R104,유기농통밀(사조),원료,kg,33319.6588,20,365,,
R105,정종,원료,kg,3.6,1.8,365,1.8,병
R106,통깨,원료,kg,69.9616,2,150,,
R108,코코넛오일,원료,kg,20.917199999999998,20,720,,
R109,코팅다크,원료,kg,-0.06,5,365,5,통
R110,크라프트골드,원료,kg,765.4960000000002,5,365,,
R111,크림치즈,원료,kg,71.31,13.6,365,,
R112,탈지분유,원료,kg,149.12499999999997,25,720,,
R113,강력,원료,kg,10600,20,720,,
R114,통밀(사조),원료,kg,22548.88209,20,365,20,포
R117,유기농밀가루(제빵용),원료,kg,6442.478,20,365,,
R118,트리몰린,원료,kg,10.5,7,365,7,통
R119,파마산,원료,kg,17,1,720,,
R121,파인소프트-T,원료,kg,137.28800000000004,15,720,,
R122,파인애플 청크,원료,kg,33,6,1460,,
R123,팥배기,원료,kg,167.7044,24,365,2,봉지
R124,팥앙금,원료,kg,737.4239999999999,10,60,,
R125,페파로니,원료,kg,91.28999999999999,1,365,1,팩
R126,포도씨유,원료,kg,2153.1472000000003,18,720,18,캔
R127,올리브유,원료,kg,682.395,5,720,,
